*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=CyGate4
*Date=12:25:15
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
111;100nF;100 mil [THT, multilayer];189.69;-13.3391;-90;Bottom;C9
112;;;93.4885;-22.1996;-90;Bottom;TXT92
113;;;38.5431;-41.2468;0;Bottom;Via22
114;;;193.119;-107.71;-90;Bottom;TXT71
115;;;33.7392;-62.8691;0;Bottom;Huzzah32
116;;;32.2095;-61.5992;0;Bottom;Via84
117;150;THT;154.13;-108.589;0;Bottom;R13
118;;;84.0327;-12.9942;0;Bottom;TXT76
119;;300 mil [THT];8.07957;-32.4145;90;Bottom;D1
120;;;133.809;-95.8892;0;Bottom;Via99
121;;;182.069;-12.0692;0;Bottom;Via98
122;;;154.129;-104.779;0;Bottom;Via101
123;;THT;39.7441;-19.6893;-90;Bottom;U6
124;;;41.3818;-4.02591;0;Bottom;TXT25
125;10k;THT;57.6096;-33.6591;-90;Bottom;R11
126;;;47.4495;-69.2192;0;Bottom;Via94
127;;;116.016;-89.5514;0;Bottom;Via14
128;;;14.6792;-3.84236;0;Bottom;TXT64
129;;battcom_20mm_pth;172.184;-43.819;0;Bottom;BAT1
130;;THT;16.8842;-19.6893;-90;Bottom;U3
131;;;47.7317;-19.5483;-90;Bottom;TXT80
132;;;192.935;-65.6913;-90;Bottom;TXT71
133;150;THT;154.13;-94.6191;0;Bottom;R14
134;;;107.099;-46.3559;0;Bottom;Via55
135;;THT;3.76157;-83.542;180;Bottom;J1
136;;;29.6254;-57.7819;0;Bottom;Via20
137;;3 mm [THT];154.129;-49.5902;0;Bottom;LED7
138;;THT;16.6166;-7.75125;90;Bottom;J3
139;;;67.8048;-65.3991;0;Bottom;Via29
140;;;37.3355;-67.9072;0;Bottom;Via13
141;;;83.0747;-22.5124;-90;Bottom;TXT84
142;;;104.591;-4.46081;0;Bottom;Via60
143;3.3k;THT;105.87;-62.8691;0;Bottom;R4
144;;THT;24.2366;-7.75125;90;Bottom;J4
145;;;56.3787;-41.2468;0;Bottom;Via23
146;;;156.669;-43.8192;0;Bottom;Via68
147;;;140.469;-3.16279;0;Bottom;TXT29
148;;;88.0373;-32.2185;-90;Bottom;TXT87
149;1pF;100 mil [THT, multilayer];112.22;-79.3791;180;Bottom;C7
150;;;77.9297;-80.649;0;Bottom;Via109
151;;THT;188.928;-91.7261;0;Bottom;J14
152;;;52.7792;-3.98348;0;Bottom;TXT69
153;;THT;32.1241;-19.6893;-90;Bottom;U5
154;;;143.977;-79.3332;0;Bottom;Via39
155;;THT;47.0965;-7.75125;90;Bottom;J7
